2021-07-16 10:01:57.941 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 10:01:58.034 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 10:01:58.034 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1444 ms
2021-07-16 10:01:58.098 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-16 10:01:58.114 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-16 10:04:44.401 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication on 张帅 with PID 12156 (E:\myProject\Java\guli_parent\service\service-edu\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 10:04:44.401 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2021-07-16 10:04:45.190 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 10:04:45.190 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 10:04:45.218 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
2021-07-16 10:04:45.550 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 10:04:45.566 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 10:04:45.566 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 10:04:45.566 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 10:04:45.650 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 10:04:45.650 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1202 ms
2021-07-16 10:04:45.713 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-16 10:04:45.720 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-16 10:14:58.277 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication on 张帅 with PID 15376 (E:\myProject\Java\guli_parent\service\service-edu\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 10:14:58.277 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2021-07-16 10:14:59.076 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 10:14:59.076 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 10:14:59.098 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 Redis repository interfaces.
2021-07-16 10:14:59.430 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-07-16 10:14:59.430 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-07-16 10:14:59.430 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 10:14:59.430 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 10:14:59.515 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 10:14:59.515 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1185 ms
2021-07-16 10:14:59.584 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-16 10:14:59.584 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-16 10:15:40.951 [main] INFO  com.atguigu.serviceVod.VodApplication - Starting VodApplication on 张帅 with PID 15096 (E:\myProject\Java\guli_parent\service\service-vod\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 10:15:40.951 [main] INFO  com.atguigu.serviceVod.VodApplication - The following profiles are active: dev
2021-07-16 10:15:41.778 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 10:15:41.780 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 10:15:41.800 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
2021-07-16 10:15:42.122 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 10:15:42.133 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 10:15:42.141 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 10:15:42.141 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 10:15:42.233 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 10:15:42.233 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1211 ms
2021-07-16 10:15:42.553 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
